null_index,exp,X,n,R_bits_per_gap
0,15.0,32768.0,3076.0,-0.0003250975292587807
0,16.0,65536.0,5643.0,-0.00017721070352649159
0,17.0,131072.0,10725.0,-9.324009324009268e-05
0,18.0,262144.0,20432.0,-4.894283476898958e-05
0,19.0,524288.0,38714.0,-2.583044893320237e-05
0,20.0,1048576.0,73904.0,-1.3531067330591074e-05
0,21.0,2097152.0,139988.0,-7.1434694402373145e-06
0,22.0,4194304.0,267859.0,-3.733307449068247e-06
0,23.0,8388608.0,514418.0,-1.9439444187410896e-06
0,24.0,16777216.0,986907.0,-1.0132667009150614e-06
0,25.0,33554432.0,1895312.0,-5.276176165190328e-07
0,26.0,67108864.0,3644869.0,-2.7435828283538195e-07
1,15.0,32768.0,3073.0,-0.00032541490400260275
1,16.0,65536.0,5707.0,-0.00017522340984755323
1,17.0,131072.0,10792.0,-9.266123054114043e-05
1,18.0,262144.0,20357.0,-4.912315174141601e-05
1,19.0,524288.0,38485.0,-2.5984149668701803e-05
1,20.0,1048576.0,73641.0,-1.3579391914829982e-05
1,21.0,2097152.0,140047.0,-7.140459988432379e-06
1,22.0,4194304.0,268301.0,-3.7271571853999284e-06
1,23.0,8388608.0,513283.0,-1.9482429770712018e-06
1,24.0,16777216.0,986354.0,-1.0138347895380343e-06
1,25.0,33554432.0,1896444.0,-5.273026780648132e-07
1,26.0,67108864.0,3644631.0,-2.743761988524921e-07
2,15.0,32768.0,2958.0,-0.0003380662609871548
2,16.0,65536.0,5829.0,-0.00017155601303825487
2,17.0,131072.0,10698.0,-9.347541596560306e-05
2,18.0,262144.0,20387.0,-4.90508657477799e-05
2,19.0,524288.0,39017.0,-2.5629853653535485e-05
2,20.0,1048576.0,73326.0,-1.3637727409104422e-05
2,21.0,2097152.0,140818.0,-7.101364882330289e-06
2,22.0,4194304.0,267571.0,-3.73732579390139e-06
2,23.0,8388608.0,515208.0,-1.9409636496327043e-06
2,24.0,16777216.0,985934.0,-1.0142666750512911e-06
2,25.0,33554432.0,1896535.0,-5.27277376900494e-07
2,26.0,67108864.0,3649876.0,-2.739819106183466e-07
3,15.0,32768.0,3045.0,-0.00032840722495894623
3,16.0,65536.0,5642.0,-0.00017724211272598405
3,17.0,131072.0,10652.0,-9.387908374014326e-05
3,18.0,262144.0,20466.0,-4.886152643408449e-05
3,19.0,524288.0,38809.0,-2.576721894405966e-05
3,20.0,1048576.0,73555.0,-1.3595268846441518e-05
3,21.0,2097152.0,140550.0,-7.114905727498608e-06
3,22.0,4194304.0,268223.0,-3.728241053153536e-06
3,23.0,8388608.0,514460.0,-1.943785717062533e-06
3,24.0,16777216.0,986112.0,-1.0140835929386963e-06
3,25.0,33554432.0,1895403.0,-5.275922851235205e-07
3,26.0,67108864.0,3646911.0,-2.742046625212472e-07
4,15.0,32768.0,2961.0,-0.00033772374197905833
4,16.0,65536.0,5796.0,-0.0001725327812284324
4,17.0,131072.0,10923.0,-9.154994049253953e-05
4,18.0,262144.0,20360.0,-4.9115913555992634e-05
4,19.0,524288.0,38792.0,-2.5778511033202317e-05
4,20.0,1048576.0,73819.0,-1.3546647881981412e-05
4,21.0,2097152.0,140576.0,-7.1135898019575145e-06
4,22.0,4194304.0,268181.0,-3.7288249353978854e-06
4,23.0,8388608.0,513275.0,-1.948273342750044e-06
4,24.0,16777216.0,985514.0,-1.014698928680859e-06
4,25.0,33554432.0,1894796.0,-5.277612998972075e-07
